decimalLatitude,decimalLongitude,genus
7.101511,171.265532,Echinopora
7.11065,171.135078,Caulastraea
7.11065,171.135078,Alveopora
7.128226,171.355937,Plesiastrea
7.101511,171.265532,Plesiastrea
7.101511,171.265532,Euphyllia
7.11065,171.135078,Turbinaria
7.128226,171.355937,Astreopora
7.11065,171.135078,Echinopora
7.182269,171.086561,Cyphastrea
7.11065,171.135078,Ctenactis
7.182269,171.086561,Coscinaraea
7.128226,171.355937,Herpolitha
7.128226,171.355937,Physogyra
7.128226,171.355937,Goniopora
7.128226,171.355937,Leptoseris
7.128226,171.355937,Pavona
7.128226,171.355937,Oxypora
7.128226,171.355937,Leptastrea
7.128226,171.355937,Turbinaria
7.101511,171.265532,Turbinaria
7.101511,171.265532,Leptoseris
7.11065,171.135078,Euphyllia
7.11065,171.135078,Echinophyllia
7.11065,171.135078,Pachyseris
7.11065,171.135078,Gardineroseris
7.11065,171.135078,Plesiastrea
7.11065,171.135078,Favites
7.11065,171.135078,Oxypora
7.11065,171.135078,Fungia
7.11065,171.135078,Hydnophora
7.182269,171.086561,Echinophyllia
7.182269,171.086561,Goniastrea
7.182269,171.086561,Pachyseris
7.182269,171.086561,Oulophyllia
7.182269,171.086561,Sandalolitha
7.182269,171.086561,Seriatopora
7.182269,171.086561,Favites
7.182269,171.086561,Galaxea
7.182269,171.086561,Isopora
7.182269,171.086561,Oxypora
7.182269,171.086561,Plerogyra
7.182269,171.086561,Favia
7.182269,171.086561,Montipora
7.182269,171.086561,Pectinia
7.182269,171.086561,Stylophora
7.182269,171.086561,Herpolitha
7.128226,171.355937,Echinopora
7.128226,171.355937,Stylocoeniella
7.182269,171.086561,Gardineroseris
9.090854,167.471139,Turbinaria
8.934999,167.753184,Cycloseris
8.826458,167.789843,Turbinaria
8.956131,167.740519,Cycloseris
9.181665,167.41313,Turbinaria
7.06,171.179993,Psammocora
6.1,171.7,Acropora
11.116667,166.516667,Acropora
6.1,171.7,Seriatopora
11.15,166.466667,Pectinia
11.15,166.466667,Acropora
11.116667,166.516667,Lobactis
11.35,166.916667,Acropora
6.1,171.7,Merulina
7,171.7,Acropora
6.1,171.7,Oulophyllia
6.1,171.7,Echinophyllia
6.1,171.7,Leptoseris
11.133333,166.516667,Acropora
11.316667,166.8,Acropora
11.366667,166.966667,Acropora
11.333333,166.916667,Acropora
11.25,166.883333,Acropora
11.233333,166.616667,Acropora
11.433333,167.033333,Acropora
11.2,166.683333,Acropora
11.3,166.65,Acropora
11.283333,166.883333,Acropora
11.133333,166.35,Acropora
11.216667,166.716667,Acropora
11.15,166.883333,Acropora
6.1,171.7,Hydnophora
11.416667,166.966667,Acropora
6.1,171.7,Montipora
11.383333,166.983333,Acropora
11.433333,167.033333,Seriatopora
11.466667,166.666667,Acropora
11.216667,166.7,Acropora
11.383333,166.983333,Anacropora
11.383333,166.983333,Hydnophora
11.166667,166.283333,Acropora
11.216667,166.716667,Pavona
11.333333,166.916667,Merulina
11.466667,166.666667,Cantharellus
6.1,171.7,Pavona
11.366667,166.966667,Leptoseris
11.283333,166.883333,Echinophyllia
11.233333,166.616667,Leptastrea
11.166667,166.283333,Echinophyllia
6.1,171.7,Lobactis
11.233333,166.616667,Echinophyllia
11.366667,166.966667,Cycloseris
6.1,171.7,Goniopora
11.466667,166.666667,Danafungia
11.216667,166.716667,Stylocoeniella
11.433333,167.033333,Turbinaria
11.166667,166.283333,Danafungia
11.216667,166.7,Echinophyllia
11.433333,167.033333,Caulastraea
11.166667,166.283333,Montipora
11.233333,166.616667,Plesiastrea
11.283333,166.883333,Oulophyllia
11.35,166.916667,Montipora
11.283333,166.883333,Hydnophora
11.283333,166.883333,Dipsastraea
11.21,166.7,Acropora
11.16,166.29,Acropora
11.46,166.67,Acropora
